DECADE,IMPORTANCE,TEAM LIST,DESCRIPTION,YEAR,TYPE,STATUS,TYPOLOGY_01,REM?,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,BRANCH KEY,KEY LIST,KEY TOTAL
1980s,0.0,"['Elizabeth Alford', 'Xaveer de Geyter', 'Kyoko Hoshino', 'Winy Maas', 'Vince Scarano', 'Ron Steiner', 'Yushi Uehara', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Stad aan de Stroom,1989,Project,Commissioned Study,Masterplan,True,Elizabeth Alford,Xaveer de Geyter,Kyoko Hoshino,Winy Maas,Vince Scarano,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
1980s,0.0,"['Christophe Cornubert', 'Xaveer de Geyter', 'Georges Heintz', 'Ramon Klein', 'Heike Lohmann', 'Ron Steiner', 'Yushi Uehara', 'Alex Wall', 'Art Zaaijer', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Très Grande Bibliothèque,1989,Project,Competition,Library,True,Christophe Cornubert,Xaveer de Geyter,Georges Heintz,Ramon Klein,Heike Lohmann,Ron Steiner,Yushi Uehara,Alex Wall,Art Zaaijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
1980s,0.0,"['Eric van Daele', 'Xaveer de Geyter', 'Jaap van Heest', 'Ramon Klein', 'Wim Kloosterboer', 'Maartje Lammers', 'Luc Reuse', 'Ron Steiner', 'Yushi Uehara', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Zeebrugge Sea Terminal,1989,Project,Competition,Infrastructure,True,Eric van Daele,Xaveer de Geyter,Jaap van Heest,Ramon Klein,Wim Kloosterboer,Maartje Lammers,Luc Reuse,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
1990s,0.0,"['Elizabeth Alford', 'Xaveer de Geyter', 'Winy Maas', 'Ray Maggiore', 'Vince Scarano', 'Ron Steiner', 'Yushi Uehara', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Agadir Convention Centre,1990,Project,Competition,Theatre,True,Elizabeth Alford,Xaveer de Geyter,Winy Maas,Ray Maggiore,Vince Scarano,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
1990s,0.0,"['Hernando Arrazola', 'Siebe Bakker', 'Gary Bates', 'Gro Bonesmo', 'Christophe Cornubert', 'Xaveer de Geyter', 'Arjen de Groot', 'Rene Heijne', 'Jerry Kopare', 'Markus L\xc3\xbcscher', 'Peter Oudshoorn', 'Jacob van Rijs', 'Markus R\xc3\xb6thlisberger', 'Roland Stuy', 'Yushi Uehara', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Jussieu – Two Libraries,1992,Project,Competition,Library,True,Hernando Arrazola,Siebe Bakker,Gary Bates,Gro Bonesmo,Christophe Cornubert,Xaveer de Geyter,Arjen de Groot,Rene Heijne,Jerry Kopare,Markus Lüscher,Peter Oudshoorn,Jacob van Rijs,Markus Röthlisberger,Roland Stuy,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
1990s,0.0,"['Gro Bonesmo', 'Fuminori Hoshino', 'Kyoko Hoshino', 'Winy Maas', 'Ron Steiner', 'Yushi Uehara', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Yokohama Masterplan,1992,Project,Competition,Masterplan,True,Gro Bonesmo,Fuminori Hoshino,Kyoko Hoshino,Winy Maas,Ron Steiner,Yushi Uehara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
1990s,0.333333333333,"['Ruud Cobussen', 'Donald van Dansik', 'Rients Dijkstra', 'Jeanne Gang', 'Jan-Willem van Kuilenburg', 'Ray Maggiore', 'Mark Schendel', 'Diana Stiles', 'Yushi Uehara', 'Ron Witte', 'Dirk Zuiderveld', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Congrexpo,1994,Project,Completed,Theatre,True,Ruud Cobussen,Donald van Dansik,Rients Dijkstra,Jeanne Gang,Jan-Willem van Kuilenburg,Ray Maggiore,Mark Schendel,Diana Stiles,Yushi Uehara,Ron Witte,Dirk Zuiderveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
2000s,0.333333333333,"['Hernando Arrazola', 'Juliette Bekkering', 'Frans Blok', 'Rients Dijkstra', 'Jeanne Gang', 'Udo Garritzmann', 'Douglas Grieco', 'Ren\xc3\xa9 Heijnen', 'Fuminori Hoshino', 'Winy Maas', 'Ray Maggiore', 'Farshid Moussavi', 'Miguel Rodriguez-Casellas', 'Karolien de Schepper', 'Enno Stemerding', 'Hiroki Sugiyama', 'Willem Timmer', 'Tom Tulloch', 'Yushi Uehara', 'Jacques Vink', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",Souterrain Tram Tunnel,2004,Project,Completed,Infrastructure,True,Hernando Arrazola,Juliette Bekkering,Frans Blok,Rients Dijkstra,Jeanne Gang,Udo Garritzmann,Douglas Grieco,René Heijnen,Fuminori Hoshino,Winy Maas,Ray Maggiore,Farshid Moussavi,Miguel Rodriguez-Casellas,Karolien de Schepper,Enno Stemerding,Hiroki Sugiyama,Willem Timmer,Tom Tulloch,Yushi Uehara,Jacques Vink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yushi Uehara,Generation-01,8
